hip,ra,dec,mag,spect,ci,con,var_min,var_max
1887,0.397633,29.495915,8.48,G,0.58,And,,
1888,0.397728,18.579442,8.99,F0,0.379,Psc,,
1889,0.397904,50.231221,8.76,A0,0.187,Cas,,
1890,0.398017,-38.192295,9.02,F7V,0.555,Scl,,
1891,0.398118,29.50252,8.25,G,0.541,And,,
1892,0.398125,60.961413,6.57,F2,0.38,Cas,,
1893,0.399018,-14.346446,8.72,G6V,0.73,Cet,,
1894,0.399176,3.761002,7.89,K0,1.032,Psc,,
1895,0.399219,66.122349,10.76,,0.61,Cas,10.853,10.693
1896,0.399627,49.201424,8.57,A0,0.108,Cas,,
1897,0.399655,18.120453,9.69,K1,0.88,Psc,,
1898,0.399708,-27.412848,9.32,F2V,0.41,Scl,,
1899,0.39988,-17.810366,7.42,F6V,0.51,Cet,,
1900,0.399952,-3.475294,7.35,A0,0.134,Psc,,
1901,0.400542,38.577035,10.71,S66ev,2.08,And,11.015,8.045
1903,0.400922,31.188502,8.73,A2,0.424,And,,
